brief_id,started_at,ended_at,primary_category_id,secondary_category_id,brand,brand_manager
5363,2017-11-06 06:30:20.206,2017-11-11 13:00:08.003,7,6.0,Woods-Novak,Michael Morgan MD
5397,2017-11-07 00:45:11.290,2018-02-01 23:52:32.950,5,12.0,"Ramos, Thompson and Parker",Robert Nelson
5398,2017-11-07 05:30:10.458,2017-12-16 13:00:35.272,16,11.0,Peters-Rose,James Marquez
5376,2017-11-07 23:30:06.649,2018-02-01 23:54:40.678,1,,Day PLC,Kara Bennett
5331,2017-11-08 02:00:11.334,2017-12-07 13:00:12.899,11,8.0,Bryant-Moreno,Carl Weber
5396,2017-11-08 06:15:20.637,2017-11-10 13:00:19.678,3,7.0,Fernandez and Sons,Dorothy Rogers
5257,2017-10-31 21:00:14.397,2018-02-01 23:53:20.156,9,1.0,Barnett-Collins,Peter Hawkins
5276,2017-11-01 07:00:01.196,2017-12-16 13:00:16.251,4,9.0,Patterson-Wood,Matthew Hammond
5187,2017-10-31 05:45:28.705,2017-11-24 05:11:59.652,1,6.0,Mclaughlin Inc,Theresa Mason
5301,2017-11-07 01:00:08.701,2018-01-07 22:14:47.839,6,,Jones PLC,Adrian Mcdaniel
5415,2017-11-08 04:45:13.752,2018-02-01 23:51:28.128,2,,"Hansen, Vargas and Mejia",James Cole
5184,2017-11-02 01:15:02.843,2018-02-01 23:51:17.183,3,,"Brown, Brown and Becker",Samantha Johnson
5485,2017-11-10 06:15:05.281,2017-11-30 13:01:36.972,11,16.0,Ross-Thompson,Lisa Hunt
5334,2017-11-09 03:30:04.262,2018-02-01 23:51:17.884,2,,Kent-Alvarez,Virginia Flores
5167,2017-10-27 01:30:11.078,2017-11-09 13:00:15.677,11,2.0,Braun-Flores,Micheal Dean
5468,2017-11-10 04:30:01.976,2017-11-24 13:00:10.772,1,,Mcgee and Sons,Chad Herrera
5394,2017-11-07 05:30:13.181,2017-11-30 13:01:17.102,1,7.0,"Fuentes, Gross and Barnes",Destiny Blanchard
5523,2017-11-13 05:30:11.877,2018-02-01 23:53:51.895,4,5.0,Ford-Parks,Jennifer Stewart
5479,2017-11-10 03:45:10.640,2017-11-30 13:00:49.887,8,11.0,Garcia Inc,Douglas Horn
5520,2017-11-14 04:15:02.147,2017-11-30 13:01:24.863,1,11.0,"Owens, Bell and Beck",Suzanne Berry
5480,2017-11-10 04:15:07.203,2017-12-01 13:00:42.083,1,,Ramos Ltd,Cody Osborne
5210,2017-11-13 03:30:12.133,2017-11-23 23:20:25.332,15,,Davis-Garza,Aaron Miller
5595,2017-11-15 07:19:01.733,2017-12-30 13:00:38.941,10,,"Miller, James and Fischer",Richard Wilson
5357,2017-11-07 04:00:21.157,2018-02-01 23:52:43.362,11,2.0,Jenkins Inc,Linda Charles
5603,2017-11-16 06:45:10.810,2017-12-07 13:00:30.201,12,,Smith-Santiago,Tammie Garza
5616,2017-11-16 06:15:09.075,2018-02-01 23:54:02.617,1,,Hamilton and Sons,Kendra Davis
5663,2017-11-17 02:00:11.678,2018-02-01 23:55:45.577,7,3.0,Petersen Ltd,Anthony Gaines
5516,2017-11-17 03:45:10.010,2018-02-01 23:51:44.903,11,4.0,"Alvarez, Powers and Williams",Raymond Blake
5614,2017-11-16 02:15:02.255,2018-02-01 23:51:17.589,1,,Webster-Kirk,Matthew Jones
4578,2017-11-17 04:00:16.604,2018-01-29 02:30:44.816,2,5.0,Werner PLC,Patricia Hoffman
5669,2017-11-17 04:30:06.909,2018-02-01 23:54:03.077,6,,"George, Fernandez and Rodriguez",April Chen
5624,2017-11-16 21:00:08.239,2018-02-01 23:53:09.992,1,,"King, Benson and Sutton",John Carpenter
5639,2017-11-17 00:45:06.663,2017-12-16 13:00:28.937,1,9.0,Wong-Smith,Carrie Fox
5622,2017-11-16 06:45:12.317,2018-02-01 23:52:40.962,1,,Williams-Allen,John Carpenter
5369,2017-11-08 22:25:23.592,2018-02-01 23:52:28.314,3,2.0,Beck Group,Michael Perkins
5307,2017-11-08 05:00:02.014,2018-01-07 22:15:14.165,6,,Jones PLC,Adrian Mcdaniel
5623,2017-11-16 02:30:09.436,2017-12-10 13:00:38.216,7,0.0,Harris LLC,Tammy Tran
5630,2017-11-20 07:19:42.711,2017-11-28 13:00:25.783,3,16.0,Hall-Murphy,Brittany Anderson
5722,2017-11-22 01:00:12.600,2017-12-06 13:00:20.927,4,11.0,Gomez-Cline,Kathryn Russell
5769,2017-11-22 04:00:35.639,2017-12-21 01:05:30.025,7,1.0,Thompson-Vega,Paul Clay
5779,2017-11-22 04:15:06.006,2018-02-01 23:52:11.351,1,5.0,"Anderson, Walker and Miller",Robert Johnson
5747,2017-11-22 05:15:14.549,2018-02-01 23:53:48.304,16,7.0,"Brown, Carter and Martinez",Dr. Danielle Graves
5726,2017-11-22 04:30:30.243,2017-12-31 13:00:29.239,6,,Roberts LLC,Zachary Dean
5795,2017-11-23 02:00:22.556,2018-02-01 23:54:41.666,11,1.0,Ramirez PLC,Mary House
5746,2017-11-22 05:15:08.458,2017-11-27 04:16:27.001,12,5.0,"Baker, Sullivan and Jones",Kimberly Parker
5659,2017-11-23 22:35:34.441,2017-12-19 13:00:22.097,1,,Mcgee and Sons,Desiree Ford
5522,2017-11-14 04:15:06.478,2018-02-01 23:52:56.888,12,,Jones and Sons,Thomas Brooks
5566,2017-11-24 04:30:17.528,2018-02-01 23:55:51.230,3,,"Martinez, Cummings and Hood",Amanda Munoz
5433,2017-11-10 00:00:08.865,2017-12-06 13:00:30.201,4,,"Massey, Sparks and Hawkins",Jeffrey Watson
5578,2017-11-15 04:35:26.062,2018-02-01 23:54:09.306,3,12.0,"Lowe, Spears and Herrera",Frank Joyce
5581,2017-11-21 00:30:23.061,2017-11-30 13:01:22.782,14,,Martinez Group,Barbara Simon
5785,2017-11-23 05:33:00.886,2017-12-20 13:00:06.220,1,,"Johnson, Cortez and Hurley",Jessica Murphy
5874,2017-11-27 01:45:13.290,2018-02-01 23:53:32.076,2,,Boyd-Jones,Joseph Stokes
5856,2017-11-27 03:30:28.014,2017-12-20 04:43:15.347,15,4.0,Williamson-Mack,Collin Williams
5873,2017-11-27 03:45:06.670,2018-02-01 23:54:03.431,1,,James and Sons,Dr. Allen Haynes
5587,2017-11-15 01:30:09.177,2017-12-25 13:00:34.196,3,7.0,Nelson-Kelley,Michael Bartlett
5901,2017-11-28 01:30:28.011,2018-02-01 23:51:46.096,1,0.0,Young-Cole,Thomas Adams
5813,2017-11-23 07:00:33.004,2017-12-31 13:00:21.838,1,,Diaz-Holmes,Cody Osborne
5913,2017-11-29 00:54:49.966,2017-12-13 13:00:17.690,8,10.0,"Torres, Mayer and Cook",Timothy Nunez
5889,2017-11-28 23:01:58.346,2017-12-05 13:00:24.378,1,6.0,"Johnson, Garcia and Roberts",Kelly Gonzalez
5934,2017-11-29 21:00:24.401,2017-12-11 13:01:04.023,6,5.0,Patterson and Sons,Laurie Sellers
5629,2017-11-17 06:31:39.695,2018-01-02 13:00:09.317,1,7.0,Aguilar and Sons,David Peterson
5810,2017-11-26 21:00:34.756,2017-12-24 13:00:15.777,2,11.0,Jones Inc,Brian Hicks
5961,2017-11-30 01:00:06.740,2018-02-01 23:54:16.390,1,,Mclaughlin Inc,Theresa Mason
5690,2017-11-21 04:30:06.542,2018-02-01 23:53:50.999,11,12.0,"Hammond, Clay and Coleman",Kerry White
5879,2017-11-27 04:15:12.784,2018-02-01 23:55:06.299,1,,Villanueva-Ferguson,Christopher Stevens
5878,2017-11-27 20:16:19.540,2017-12-16 13:00:28.011,2,7.0,"Myers, Osborn and Carter",George Bryant
5830,2017-11-24 05:30:10.951,2017-12-13 13:00:17.296,4,5.0,Williams-Mcknight,Misty Boyd
6047,2017-12-05 02:45:34.557,2017-12-29 13:00:16.834,3,11.0,Becker-Cooley,Angel Hendricks
5991,2017-12-05 03:00:19.546,2017-12-30 13:00:16.650,2,6.0,"Davidson, Livingston and Smith",Cameron Schmidt
5992,2017-12-05 03:00:24.111,2018-02-01 23:51:48.767,2,3.0,"Davidson, Livingston and Smith",Cameron Schmidt
6056,2017-12-05 05:09:55.134,2017-12-15 13:00:16.307,12,,"Andrews, Cuevas and Cunningham",Rebecca Carroll
6034,2017-12-05 01:15:19.658,2018-02-01 23:54:03.581,1,,"Hill, Todd and Hicks",Kathryn Ball
5976,2017-12-01 05:30:24.542,2017-12-20 13:00:11.485,12,15.0,"Strickland, Mason and Jones",Matthew Ruiz
6089,2017-12-06 05:30:23.791,2017-12-18 13:00:20.715,15,3.0,"Beltran, Moore and Sanchez",Cameron Thompson
6092,2017-12-06 23:45:33.151,2017-12-21 13:00:42.631,12,,Peterson-Flores,Casey Rogers
6010,2017-12-04 21:00:07.316,2018-02-01 23:54:18.177,7,12.0,Shepard-Duke,Christina Simmons MD
6109,2017-12-08 01:45:24.639,2018-02-01 23:54:11.073,1,,"Murray, Hansen and Alvarez",Lucas Cox
6139,2017-12-08 02:15:24.120,2018-01-22 13:00:15.489,2,15.0,"Ross, Castro and Graves",Michelle West
5881,2017-11-28 21:00:07.638,2017-12-24 13:00:16.687,16,11.0,Sanchez-Anderson,Brian Hicks
6117,2017-12-08 00:30:28.399,2018-01-09 23:23:55.745,2,3.0,"Hunter, Gonzalez and Caldwell",Thomas Salazar
6049,2017-12-08 21:00:12.198,2018-03-22 01:03:10.561,1,,Keller Inc,Christine Gardner
5728,2017-12-07 03:30:09.875,2018-01-18 23:48:58.621,12,,Gaines-Sawyer,James Moody
5123,2017-12-07 00:45:15.712,2017-12-14 13:00:24.931,1,11.0,"Orr, Owen and Austin",Shawn Jenkins
6016,2017-12-04 03:13:46.752,2018-01-31 00:27:43.129,14,,Sanders-Davis,Michael Brown
6161,2017-12-12 04:57:55.655,2017-12-27 13:00:04.012,2,,Dunlap LLC,Kevin Moss
6230,2017-12-12 10:42:43.882,2018-02-01 23:51:53.652,1,7.0,Burton and Sons,Scott Santana
6228,2017-12-12 10:44:20.095,2018-02-01 23:54:36.872,6,,Bailey-Miller,Adrian Mcdaniel
6032,2017-12-05 23:00:27.204,2017-12-28 13:00:03.053,1,6.0,Davenport and Sons,Felicia Avery
6201,2017-12-13 01:52:57.466,2018-02-01 23:55:48.958,15,8.0,Goodman Inc,Anthony Zhang
6194,2017-12-11 05:37:07.257,2018-02-01 23:54:14.292,4,12.0,Webb Ltd,Matthew Howell
6222,2017-12-12 04:47:00.576,2018-02-01 23:52:58.438,1,7.0,"Pratt, Brooks and Shaw",Margaret Berger
6272,2017-12-14 03:05:37.007,2017-12-21 00:15:48.919,12,3.0,Moore LLC,Dennis Jones
6297,2017-12-15 04:30:10.439,2018-01-29 13:00:09.932,1,,Phillips Inc,Dana Santos
6302,2017-12-17 00:15:18.162,2018-01-07 22:32:36.687,11,0.0,"Henderson, Jones and Hart",Lisa Young
5449,2017-11-09 03:15:12.701,2018-01-14 13:00:19.676,6,11.0,Hayes Inc,Samantha Diaz
6257,2017-12-14 01:42:43.012,2018-02-24 13:00:24.334,14,11.0,Schmitt and Sons,Michael Silva
5811,2017-11-26 21:00:30.468,2017-12-24 13:00:14.951,2,11.0,Booth-Gardner,Brian Hicks
6334,2017-12-19 00:45:29.948,2017-12-31 13:00:13.259,1,,Hall-Scott,Jennifer Lopez
6333,2017-12-19 01:45:28.334,2018-01-29 01:33:37.056,6,4.0,Jenkins Ltd,Valerie Dixon
6343,2017-12-19 03:30:09.319,2018-01-03 13:00:29.043,1,16.0,"Barker, Rivera and Wright",Paul Clay
4525,2017-10-05 21:00:08.082,2017-10-20 13:00:36.008,2,8.0,Barrett and Sons,Amy Diaz
4852,2017-10-13 00:38:57.016,2017-11-27 13:00:25.135,4,1.0,"Lewis, Myers and Khan",Michele Love
4937,2017-10-17 05:00:21.733,2018-02-01 23:54:34.604,8,,"Paul, Smith and Ortiz",Robert Wells
5157,2017-10-26 04:30:42.152,2017-12-14 13:00:20.003,7,3.0,Lester-Rodriguez,Adam Johns
5094,2017-10-24 05:15:23.894,2018-02-01 23:52:33.517,2,7.0,"Tucker, Butler and Evans",Lori Bray
5547,2017-11-15 05:00:14.052,2017-11-28 13:00:31.696,1,16.0,Gilbert-Mcmahon,Stephanie Johnson
5426,2017-11-09 02:00:02.949,2018-02-01 23:53:42.844,4,,"Conway, Middleton and Kent",Laurie Davies
5205,2017-11-03 01:30:19.682,2018-02-01 23:52:39.975,2,,Olsen-Gross,Erica Chapman
5773,2017-11-22 04:00:29.830,2017-12-31 13:00:37.909,1,7.0,"Flores, Garrett and Mendoza",Mrs. Shannon Wong DVM
5854,2017-11-28 01:30:24.605,2017-12-09 13:00:15.179,2,8.0,"Goodman, Green and Williams",Tara Hart
5445,2017-11-21 23:00:10.599,2018-01-31 13:00:34.087,7,6.0,Bradshaw-Reyes,Patricia Duncan
5683,2017-11-23 06:15:02.665,2018-02-01 23:53:52.496,7,4.0,Taylor Inc,Heather Chambers
5161,2017-10-26 04:00:02.046,2018-02-01 23:54:54.702,7,3.0,Key Inc,Michael Moore
5725,2017-11-23 22:45:24.893,2017-12-08 13:00:10.527,1,,"Arroyo, Horne and Brooks",Kayla Graham
5823,2017-11-24 05:15:33.726,2017-12-21 13:00:52.571,12,2.0,Holland-Terry,Cynthia Gonzales
6263,2017-12-13 06:52:02.279,2018-02-01 23:55:36.446,10,,Fitzgerald and Sons,David Roberts
6325,2017-12-18 05:15:05.184,2018-01-31 13:00:30.377,3,,Franco PLC,Colleen Smith
6372,2017-12-20 06:15:10.785,2018-02-01 23:55:14.490,4,2.0,"Conway, Middleton and Kent",Laurie Davies
6305,2017-12-18 06:30:09.048,2018-03-23 13:00:10.214,1,0.0,Moore-Garcia,Abigail Smith
6390,2017-12-21 06:15:16.541,2018-01-29 01:28:15.570,2,,"Burns, King and Fernandez",Wanda Robbins
6385,2017-12-21 01:00:26.083,2018-02-01 23:53:50.729,8,0.0,"Andrade, Jenkins and Jackson",Sarah Knox
6389,2017-12-21 21:00:43.907,2018-01-08 07:32:32.422,11,7.0,"Norris, Smith and Johnson",Olivia Howard
6277,2017-12-20 05:30:16.157,2018-02-01 23:53:43.121,8,9.0,"Anderson, Harrison and Garcia",Jorge Daniels
6410,2017-12-27 03:45:08.776,2018-01-17 13:00:19.979,1,,Ray Ltd,Shawn Miller
6442,2017-12-28 00:30:18.757,2018-02-01 23:55:20.274,11,,Bishop and Sons,Dustin Robles
6369,2017-12-20 05:15:37.303,2018-01-01 13:00:20.410,7,1.0,"Moore, Mercado and Moore",Heather Hall
6329,2017-12-18 03:00:05.186,2018-01-07 13:00:06.166,1,7.0,Mays-Ryan,Amy Castillo
6303,2018-01-03 01:15:13.171,2018-02-14 13:00:16.889,6,5.0,"Becker, Pearson and Campos",Kylie Peterson MD
6489,2018-01-03 05:00:28.332,2018-01-30 13:00:08.362,7,3.0,Owens-Herring,Nicholas Brock
6475,2018-01-02 08:15:06.046,2018-01-30 13:00:04.555,6,5.0,"Bowman, Fischer and Lawrence",Nicholas Brock
6484,2018-01-03 05:00:31.020,2018-01-31 13:00:37.750,3,7.0,Church and Sons,Joel Gill
6543,2018-01-05 06:02:04.244,2018-02-18 13:00:21.754,6,0.0,Jones PLC,Adrian Mcdaniel
6509,2018-01-04 00:21:21.921,2018-02-11 13:00:02.925,9,8.0,Rasmussen PLC,Diana Leonard
6210,2018-01-07 23:06:44.111,2018-02-22 13:00:30.886,3,2.0,"Lewis, Collier and Hull",Kelly Phillips
6571,2018-01-08 23:32:54.681,2018-02-01 23:54:05.263,1,7.0,Thomas-Meadows,Donald Young Jr.
6557,2018-01-09 06:25:37.364,2018-02-09 13:00:33.801,5,8.0,"Shah, Barry and Green",Douglas King
6584,2018-01-09 05:33:30.051,2018-01-24 13:00:19.194,6,1.0,"Bryant, Steele and English",Cory Palmer
6587,2018-01-09 05:48:15.724,2018-02-01 23:55:24.772,3,2.0,Long and Sons,Anthony Scott
6602,2018-01-10 00:52:44.120,2018-02-24 13:00:31.291,1,,"Simmons, Cook and Hughes",Danielle Tran
6566,2018-01-09 00:26:05.240,2018-03-30 13:00:49.076,1,,Miller-Moore,Michael Smith
6600,2018-01-10 01:20:41.266,2018-02-05 23:48:26.946,3,,Shelton PLC,Dr. Amanda Henson
6542,2018-01-10 05:15:12.099,2018-01-31 13:00:33.804,1,7.0,West Inc,Cody Cook
6645,2018-01-12 04:39:08.889,2018-01-31 13:00:45.366,2,,Curry-Cooper,Andrew Adams
6606,2018-01-10 05:33:00.155,2018-01-31 13:00:51.787,4,6.0,"Chen, Torres and Riley",Robert Allen
6564,2018-01-08 02:37:25.680,2018-02-01 23:53:32.907,1,,"Smith, Green and Stevenson",Yolanda Ray
6721,2018-01-16 01:54:20.631,2018-01-28 13:00:09.882,6,1.0,Berg-Richards,Elizabeth Nelson
6632,2018-01-16 00:14:24.993,2018-02-07 13:00:21.178,2,,Mitchell PLC,Cole Love
6647,2018-01-16 23:27:46.385,2018-02-06 00:29:53.068,4,6.0,"Moreno, Wilson and Nguyen",Herbert Jones
6563,2018-01-14 21:00:11.185,2018-02-07 13:00:09.630,3,2.0,Collins and Sons,Angelica Bowen
6674,2018-01-16 23:57:58.138,2018-02-15 13:00:29.548,10,15.0,"Ortiz, Carlson and King",Michael Le
6767,2018-01-17 06:32:11.538,2018-02-01 23:55:46.976,1,0.0,"Ortega, Bradford and Johnson",Paul Clay
6669,2018-01-17 22:10:09.765,2018-02-27 13:00:15.188,2,8.0,Black-Henry,Dylan Fisher
6653,2018-01-17 23:47:21.893,2018-02-18 13:00:23.001,7,4.0,"White, Martin and Tyler",Rebecca Murphy
6759,2018-01-18 04:24:40.535,2018-01-24 23:52:26.360,11,7.0,"Roberts, Davies and Jenkins",Ronald Turner
6172,2018-01-17 06:14:27.704,2018-02-28 13:01:34.815,2,5.0,"Stevenson, Brewer and Hayes",Joshua Oconnor
6754,2018-01-17 21:00:05.427,2018-02-14 13:00:18.391,1,,Simpson-Shaw,Zachary Casey
6732,2018-01-17 05:02:32.138,2018-03-16 13:00:34.056,9,,"Sheppard, Rice and Gentry",Paul Schneider
5324,2018-01-18 06:05:32.950,2018-07-13 14:00:25.931,1,9.0,Cross-Mcgee,Jennifer Mitchell
6758,2018-01-21 22:58:04.731,2018-02-07 04:48:24.325,15,8.0,Lyons-Hill,Tara Morrison
6846,2018-01-23 00:52:57.598,2018-02-20 03:22:21.795,2,0.0,Glass-Peters,Jonathan Raymond
6821,2018-01-22 22:58:40.867,2018-01-29 22:36:05.109,14,0.0,Barnes Group,Lori Oliver
6697,2018-01-23 06:06:02.483,2018-02-28 13:01:43.719,11,0.0,Baker Ltd,Misty Alexander
6905,2018-01-25 00:31:13.567,2018-01-30 05:19:39.471,12,8.0,Norris-Anderson,John Gardner
6854,2018-01-23 06:15:06.555,2018-01-31 13:00:41.873,6,4.0,Garrett PLC,Christopher Bird
6899,2018-01-25 04:41:03.095,2018-02-09 05:12:09.029,15,,Wells-Mcfarland,Andrea Fischer
6906,2018-01-25 00:43:32.003,2018-02-06 13:00:09.877,2,11.0,Fernandez-Dudley,Deborah Combs
6894,2018-01-24 21:00:09.651,2018-02-25 13:00:14.553,2,16.0,"Robinson, Silva and Hutchinson",Misty Gilbert
6812,2018-01-19 02:14:02.527,2018-06-30 14:01:03.301,14,,Davis LLC,Jason Pierce
6962,2018-01-30 06:22:14.685,2018-03-19 13:00:03.107,2,8.0,Wilson LLC,Holly Richards
6966,2018-01-30 01:03:31.255,2018-03-16 13:00:14.633,1,,Whitaker-Beltran,Heather Smith
6999,2018-01-30 06:40:51.830,2018-03-16 13:00:22.459,2,7.0,Graves-Gutierrez,Anthony Morris
6971,2018-01-29 09:37:54.124,2018-01-30 00:44:37.610,11,0.0,Watson-Jimenez,John Hunter
6956,2018-01-31 03:05:19.316,2018-02-28 13:01:42.748,8,6.0,"Owens, Brown and Humphrey",Hannah Armstrong
6993,2018-01-30 04:00:10.912,2018-02-15 05:58:27.591,1,,Phillips Inc,Alfred May
7043,2018-02-01 02:41:56.535,2018-02-14 13:00:20.321,3,2.0,"Summers, Watson and Crawford",Randy Peterson
7046,2018-02-01 03:57:20.340,2018-02-18 23:53:25.314,1,,Hall-Scott,Jennifer Lopez
7048,2018-02-01 07:05:19.474,2018-02-28 13:01:14.606,1,11.0,Fitzgerald and Sons,David Roberts
7042,2018-02-01 21:00:12.666,2018-02-07 13:00:12.067,15,,Buchanan LLC,Brian Hogan MD
7019,2018-02-01 01:21:58.768,2018-02-28 13:01:01.355,2,,Allen LLC,Stephanie Benjamin
7063,2018-02-04 21:00:03.397,2018-02-16 13:00:21.409,6,0.0,"Lopez, Vazquez and Jordan",Teresa Mayo
7070,2018-02-05 04:15:19.760,2018-02-27 13:00:01.176,14,11.0,"Frazier, Brown and Douglas",Elizabeth Burgess
7152,2018-02-07 04:00:33.866,2018-02-13 04:33:23.485,8,15.0,Watts-Rivera,Blake Turner
7064,2018-02-02 04:00:03.406,2018-03-07 13:00:25.303,1,,"Lopez, Wade and Perry",Felicia Avery
7069,2018-02-05 04:00:02.898,2018-03-22 13:00:17.660,7,8.0,"Anderson, Lynch and Barnes",Aaron Bass
7201,2018-02-08 03:18:41.499,2018-02-19 04:53:15.827,1,,Gomez-Martin,Dr. Mary Larson
6964,2018-01-31 01:00:10.069,2018-02-10 13:00:22.193,12,5.0,Garcia-Huang,Michelle Thomas
7062,2018-02-05 03:00:24.674,2018-02-27 13:00:13.555,1,,"Walton, Mack and Craig",David Wilson
6921,2018-02-04 21:00:07.395,2018-04-18 14:00:06.815,1,9.0,"Simmons, Cook and Hughes",Danielle Tran
7253,2018-02-12 23:45:05.916,2018-03-24 13:00:16.647,1,5.0,Morgan-Hernandez,Brittney Cardenas
7276,2018-02-13 00:57:55.150,2018-03-30 13:00:46.085,1,,"Hicks, Adams and Brown",Yesenia Mccormick
7199,2018-02-08 04:15:07.125,2018-02-28 13:00:40.827,3,5.0,Delgado and Sons,Kathy Stewart
7226,2018-02-14 04:15:02.563,2018-02-28 13:00:37.397,4,0.0,"Bailey, Hernandez and Frederick",Paul Mckinney
7317,2018-02-15 01:15:07.624,2018-04-05 00:22:40.566,1,6.0,Jones-Cole,Brian Hicks
7297,2018-02-14 03:00:03.852,2018-02-27 13:00:08.087,2,11.0,Lambert LLC,Mr. Bruce Sampson
7123,2018-02-16 06:15:15.243,2018-03-25 13:00:15.466,6,2.0,"Carlson, Pitts and Hurley",Mark Wright
7257,2018-02-14 01:58:29.118,2018-03-30 13:00:46.380,16,7.0,Walter Ltd,Max Chase
7318,2018-02-15 00:31:11.604,2018-02-24 13:00:28.387,1,,Martin PLC,Melissa Meadows MD
7158,2018-02-17 21:00:09.669,2018-04-12 14:00:30.267,11,14.0,Barker-Huff,Mr. Eric Miller DDS
7303,2018-02-14 06:30:05.122,2018-02-28 13:00:50.739,9,6.0,Riggs Ltd,Michael Smith
7302,2018-02-14 06:00:04.432,2018-02-28 13:01:44.556,7,3.0,Warren Inc,Anthony Gaines
